ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1253174;Name23174;FistName23174;1953-04-15;Ville21;Pays2;NS000023174;;+336##0610945;25;NomVoie7623174;;#7498;Ville22;Pays2;2017-11-27 06:06:52;2017-11-27 06:06:52
1266203;Name36203;FistName36203;1987-01-03;Ville7;Pays2;NS000036203;;+336##0641564;51;NomVoie7336203;;#9084;Ville15;Pays3;2015-10-07 19:07:35;2015-10-07 19:07:35
1231052;Name1052;FistName1052;1934-11-25;Ville10;Pays1;NS000001052;;+336##0161789;41;NomVoie811052;;#5943;Ville5;Pays2;1998-01-02 20:56:30;1998-01-02 20:56:30
1253408;Name23408;FistName23408;1943-03-03;Ville13;Pays2;NS000023408;;+336##0788746;50;NomVoie823408;;#7767;Ville22;Pays4;2004-08-08 14:17:27;2004-08-08 14:17:27
1273841;Name43841;FistName43841;2013-11-18;Ville15;Pays3;NS000043841;;+336##0804445;37;NomVoie8943841;;#8676;Ville5;Pays2;2006-07-12 09:23:28;2006-07-12 09:23:28
1263886;Name33886;FistName33886;1975-07-15;Ville18;Pays3;NS000033886;;+336##0403194;85;NomVoie5233886;;#7337;Ville9;Pays4;2018-10-14 19:14:45;2018-10-14 19:14:45
1236376;Name6376;FistName6376;1944-03-06;Ville6;Pays1;NS000006376;;+336##0619373;63;NomVoie516376;;#8175;Ville4;Pays3;1997-02-01 09:50:58;1997-02-01 09:50:58
1236753;Name6753;FistName6753;1974-10-23;Ville16;Pays2;NS000006753;;+336##0170583;28;NomVoie986753;;#5546;Ville8;Pays1;2016-02-18 23:23:52;2016-02-18 23:23:52
1260103;Name30103;FistName30103;1932-05-22;Ville13;Pays3;NS000030103;;+336##0616255;83;NomVoie1430103;;#1058;Ville18;Pays4;2018-07-18 11:57:37;2018-07-18 11:57:37
1258992;Name28992;FistName28992;1996-06-27;Ville20;Pays1;;;+336##0278173;77;NomVoie128992;;#6251;Ville21;Pays3;2001-02-01 18:46:30;2001-02-01 18:46:30
