ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;FONCTION_PERSONNEL;TS_DEBUT_ACTIVITE;TS_FIN_ACTIVITE;RAISON_FIN_ACTIVITE;TS_CREATION_PERSONNEL;TS_MAJ_PERSONNEL;CD_STATUT_PERSONNEL
0;NameMedecin0;FirstNameMedecin0;Generaliste;2026-05-07 10:13:49;2026-05-07 23:47:57;Fin de journée;1999-03-01;2024-02-23;Actif
1;NameMedecin1;FirstNameMedecin1;Dermatologiste;2026-05-07 03:18:33;2026-05-07 18:25:51;Fin de journée;1999-03-01;2024-02-23;Actif
2;NameMedecin2;FirstNameMedecin2;Chirurgien;2026-05-07 07:14:07;2026-05-07 13:17:31;Fin de journée;1999-03-01;2024-02-23;Actif
3;NameMedecin3;FirstNameMedecin3;Generaliste;2026-05-07 05:08:58;2026-05-07 17:20:23;Fin de journée;1999-03-01;2024-02-23;Actif
4;NameMedecin4;FirstNameMedecin4;Generaliste;2026-05-07 08:45:34;2026-05-07 14:13:38;Fin de journée;1999-03-01;2024-02-23;Actif
5;NameMedecin5;FirstNameMedecin5;Chirurgien;2026-05-07 09:58:13;2026-05-07 13:50:10;Fin de journée;1999-03-01;2024-02-23;Actif
6;NameMedecin6;FirstNameMedecin6;Dermatologiste;2026-05-07 07:23:29;2026-05-07 23:08:21;Fin de journée;1999-03-01;2024-02-23;Actif
7;NameMedecin7;FirstNameMedecin7;Generaliste;2026-05-07 10:26:13;2026-05-07 21:05:55;Fin de journée;1999-03-01;2024-02-23;Actif
8;NameMedecin8;FirstNameMedecin8;Generaliste;2026-05-07 04:40:44;2026-05-07 18:55:58;Fin de journée;1999-03-01;2024-02-23;Actif
9;NameMedecin9;FirstNameMedecin9;Dermatologiste;2026-05-07 03:37:19;2026-05-07 19:03:39;Fin de journée;1999-03-01;2024-02-23;Actif
10;NameMedecin10;FirstNameMedecin10;Generaliste;2026-05-07 06:48:01;2026-05-07 17:36:31;Fin de journée;1999-03-01;2024-02-23;Actif
