ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1271627;Name41627;FistName41627;2011-03-21;Ville6;Pays1;NS000041627;;+336##0506867;77;NomVoie9541627;;#1011;Ville7;Pays2;2004-11-01 05:02:47;2004-11-01 05:02:47
1262568;Name32568;FistName32568;2004-02-16;Ville18;Pays1;NS000032568;;+336##0925750;68;NomVoie6132568;;#1666;Ville20;Pays1;2000-11-21 11:06:08;2000-11-21 11:06:08
1262849;Name32849;FistName32849;1966-11-11;Ville3;Pays1;NS000032849;;+336##0071466;17;NomVoie7232849;;#4903;Ville16;Pays3;2000-10-14 19:16:03;2000-10-14 19:16:03
1272740;Name42740;FistName42740;2003-01-24;Ville12;Pays1;NS000042740;;+336##0674467;39;NomVoie7042740;;#0930;Ville16;Pays1;2000-10-18 21:31:57;2000-10-18 21:31:57
1259206;Name29206;FistName29206;1939-06-14;Ville7;Pays1;NS000029206;;+336##0774244;53;NomVoie6529206;;#3584;Ville10;Pays3;2011-03-10 01:18:32;2011-03-10 01:18:32
1255167;Name25167;FistName25167;2009-07-12;Ville22;Pays1;NS000025167;;+336##0371133;32;NomVoie825167;;#9370;Ville8;Pays1;2006-02-26 16:54:16;2006-02-26 16:54:16
1254130;Name24130;FistName24130;1944-07-05;Ville3;Pays2;NS000024130;;+336##0225294;93;NomVoie5124130;;#7389;Ville25;Pays1;2009-11-27 21:25:03;2009-11-27 21:25:03
1243493;Name13493;FistName13493;1957-05-07;Ville12;Pays2;NS000013493;;+336##0583195;51;NomVoie7013493;;#2373;Ville18;Pays2;1997-05-12 14:51:08;1997-05-12 14:51:08
1247583;Name17583;FistName17583;1978-07-25;Ville17;Pays2;NS000017583;;+336##0865168;81;NomVoie3617583;;#4330;Ville6;Pays4;2022-09-07 23:33:33;2022-09-07 23:33:33
1271632;Name41632;FistName41632;1998-05-14;Ville6;Pays1;NS000041632;;+336##0679428;44;NomVoie3741632;;#9584;Ville13;Pays1;2014-04-12 19:16:08;2014-04-12 19:16:08
1268838;Name38838;FistName38838;1981-11-03;Ville23;Pays2;NS000038838;;+336##0921196;79;NomVoie2838838;;#4551;Ville17;Pays3;2010-09-06 21:20:18;2010-09-06 21:20:18
1273940;Name43940;FistName43940;1930-10-03;Ville19;Pays1;NS000043940;;+336##0574150;82;NomVoie443940;;#8375;Ville19;Pays2;2004-07-02 15:41:26;2004-07-02 15:41:26
1250502;Name20502;FistName20502;1944-11-15;Ville17;Pays2;NS000020502;;+336##0668261;28;NomVoie3520502;;#0287;Ville3;Pays4;2011-04-18 12:43:46;2011-04-18 12:43:46
