ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1244697;Name14697;FistName14697;1980-08-16;Ville14;Pays1;NS000014697;;+336##0691240;94;NomVoie5314697;;#9481;Ville13;Pays2;2002-09-14 13:27:09;2002-09-14 13:27:09
1279485;Name49485;FistName49485;1999-07-14;Ville7;Pays2;NS000049485;;+336##0529523;1;NomVoie5849485;;#9424;Ville13;Pays2;2005-02-19 16:18:56;2005-02-19 16:18:56
1272193;Name42193;FistName42193;1949-03-02;Ville19;Pays1;NS000042193;;+336##0623902;77;NomVoie3342193;;#9628;Ville24;Pays2;2017-04-12 08:31:27;2017-04-12 08:31:27
1233974;Name3974;FistName3974;1983-01-01;Ville17;Pays1;NS000003974;;+336##0111041;10;NomVoie53974;;#7553;Ville15;Pays2;2007-10-18 01:31:42;2007-10-18 01:31:42
1233381;Name3381;FistName3381;1966-11-25;Ville12;Pays2;NS000003381;;+336##0994914;40;NomVoie593381;;#8221;Ville8;Pays1;2010-06-11 12:05:19;2010-06-11 12:05:19
1264408;Name34408;FistName34408;1943-11-03;Ville12;Pays2;NS000034408;;+336##0010678;99;NomVoie9134408;;#0257;Ville13;Pays1;2008-05-26 12:15:16;2008-05-26 12:15:16
1239388;Name9388;FistName9388;2015-01-21;Ville12;Pays1;NS000009388;;+336##0652520;91;NomVoie539388;;#5501;Ville19;Pays2;2008-01-18 15:29:12;2008-01-18 15:29:12
1235497;Name5497;FistName5497;1933-11-27;Ville23;Pays1;NS000005497;;+336##0792253;17;NomVoie795497;;#6950;Ville13;Pays3;2000-05-11 18:21:18;2000-05-11 18:21:18
1269063;Name39063;FistName39063;1932-08-10;Ville20;Pays1;NS000039063;;+336##0714548;93;NomVoie3739063;;#0028;Ville17;Pays2;2002-08-11 15:35:42;2002-08-11 15:35:42
1237912;Name7912;FistName7912;2016-03-18;Ville25;Pays1;NS000007912;;+336##0976387;76;NomVoie647912;;#3645;Ville11;Pays1;2022-08-11 14:44:12;2022-08-11 14:44:12
1236138;Name6138;FistName6138;1968-02-18;Ville11;Pays4;NS000006138;;+336##0524559;36;NomVoie236138;;#8608;Ville4;Pays3;2012-01-24 03:25:08;2012-01-24 03:25:08
1260516;Name30516;FistName30516;1935-01-01;Ville13;Pays1;NS000030516;;+336##0564301;16;NomVoie2730516;;#1264;Ville20;Pays1;2018-11-08 21:54:07;2018-11-08 21:54:07
1238737;Name8737;FistName8737;1957-05-06;Ville15;Pays3;NS000008737;;+336##0905075;71;NomVoie118737;;#9467;Ville7;Pays1;2016-01-04 21:53:37;2016-01-04 21:53:37
1255823;Name25823;FistName25823;2011-02-06;Ville10;Pays2;NS000025823;;+336##0215768;28;NomVoie6825823;;#1562;Ville12;Pays2;2010-11-17 08:17:27;2010-11-17 08:17:27
1277674;Name47674;FistName47674;1970-06-17;Ville21;Pays2;NS000047674;;+336##0196205;30;NomVoie347674;;#9976;Ville9;Pays1;2022-03-23 01:04:59;2022-03-23 01:04:59
1251597;Name21597;FistName21597;1932-03-03;Ville23;Pays2;NS000021597;;+336##0408894;52;NomVoie6921597;;#7158;Ville5;Pays2;2020-03-15 10:05:02;2020-03-15 10:05:02
1263997;Name33997;FistName33997;2010-01-04;Ville11;Pays1;NS000033997;;+336##0661243;32;NomVoie9233997;;#5980;Ville21;Pays3;2011-11-15 04:11:46;2011-11-15 04:11:46
1249062;Name19062;FistName19062;1962-01-19;Ville24;Pays3;NS000019062;;+336##0180664;73;NomVoie3519062;;#7933;Ville1;Pays3;2021-08-17 03:40:01;2021-08-17 03:40:01
1261489;Name31489;FistName31489;1944-07-10;Ville11;Pays1;NS000031489;;+336##0791680;69;NomVoie7431489;;#5871;Ville24;Pays3;2016-11-08 12:06:59;2016-11-08 12:06:59
1231082;Name1082;FistName1082;2007-06-02;Ville5;Pays1;NS000001082;;+336##0708911;97;NomVoie481082;;#2674;Ville7;Pays2;1997-05-20 14:49:44;1997-05-20 14:49:44
1245778;Name15778;FistName15778;1941-07-20;Ville4;Pays2;NS000015778;;+336##0924716;51;NomVoie7515778;;#1893;Ville22;Pays1;2022-05-08 15:59:04;2022-05-08 15:59:04
1248442;Name18442;FistName18442;1971-01-20;Ville25;Pays2;NS000018442;;+336##0142181;16;NomVoie7318442;;#2677;Ville1;Pays4;2017-11-24 11:53:25;2017-11-24 11:53:25
1242290;Name12290;FistName12290;2002-11-26;Ville17;Pays2;NS000012290;;+336##0633590;12;NomVoie5512290;;#7602;Ville2;Pays3;2022-09-06 17:32:16;2022-09-06 17:32:16
1278324;Name48324;FistName48324;1965-03-16;Ville19;Pays4;NS000048324;;+336##0018161;8;NomVoie3448324;;#9400;Ville14;Pays1;2004-05-24 23:10:14;2004-05-24 23:10:14
1267885;Name37885;FistName37885;1980-11-21;Ville17;Pays3;NS000037885;;+336##0219409;18;NomVoie8537885;;#5059;Ville25;Pays1;1997-01-16 11:05:44;1997-01-16 11:05:44
1278643;Name48643;FistName48643;1984-02-11;Ville13;Pays2;NS000048643;;+336##0586387;26;NomVoie2648643;;#8039;Ville12;Pays2;1998-11-18 20:25:42;1998-11-18 20:25:42
1245337;Name15337;FistName15337;2008-03-18;Ville21;Pays2;NS000015337;;+336##0505976;86;NomVoie1015337;;#9167;Ville1;Pays3;1998-05-08 08:08:54;1998-05-08 08:08:54
1241480;Name11480;FistName11480;1992-05-26;Ville14;Pays3;NS000011480;;+336##0442155;1;NomVoie6611480;;#5227;Ville17;Pays2;2006-01-04 03:58:03;2006-01-04 03:58:03
1265106;Name35106;FistName35106;1992-07-26;Ville2;Pays2;NS000035106;;+336##0927586;25;NomVoie4935106;;#8696;Ville8;Pays1;2023-06-27 12:05:22;2023-06-27 12:05:22
1263622;Name33622;FistName33622;1951-03-17;Ville8;Pays3;NS000033622;;+336##0448607;40;NomVoie7533622;;#1587;Ville18;Pays1;2021-10-12 18:26:05;2021-10-12 18:26:05
1262784;Name32784;FistName32784;2004-06-16;Ville9;Pays1;NS000032784;;+336##0321404;76;NomVoie7332784;;#8382;Ville10;Pays1;2021-08-18 06:43:34;2021-08-18 06:43:34
1230152;Name152;FistName152;2015-04-05;Ville14;Pays2;NS000000152;;+336##0406847;63;NomVoie63152;;#0611;Ville6;Pays1;2020-01-10 10:54:46;2020-01-10 10:54:46
1242075;Name12075;FistName12075;1941-07-25;Ville20;Pays2;NS000012075;;+336##0267020;64;NomVoie4612075;;#9597;Ville20;Pays1;2021-10-21 02:44:02;2021-10-21 02:44:02
1262342;Name32342;FistName32342;2015-11-26;Ville18;Pays4;NS000032342;;+336##0034617;76;NomVoie932342;;#6156;Ville7;Pays2;2008-08-16 21:59:32;2008-08-16 21:59:32
1273459;Name43459;FistName43459;1967-05-06;Ville24;Pays1;NS000043459;;+336##0578404;62;NomVoie2243459;;#9632;Ville18;Pays2;2002-06-07 19:18:50;2002-06-07 19:18:50
1251788;Name21788;FistName21788;1943-09-09;Ville13;Pays4;NS000021788;;+336##0049873;90;NomVoie5421788;;#0614;Ville6;Pays1;2009-03-04 19:47:18;2009-03-04 19:47:18
1241886;Name11886;FistName11886;1996-11-25;Ville5;Pays2;NS000011886;;+336##0324008;31;NomVoie9511886;;#1830;Ville14;Pays1;2014-10-14 16:59:04;2014-10-14 16:59:04
1249969;Name19969;FistName19969;1968-01-25;Ville25;Pays4;NS000019969;;+336##0965039;25;NomVoie1119969;;#6416;Ville23;Pays3;2013-02-20 14:15:21;2013-02-20 14:15:21
1233582;Name3582;FistName3582;2007-07-27;Ville8;Pays1;NS000003582;;+336##0573705;68;NomVoie23582;;#8443;Ville11;Pays1;2001-09-09 01:43:39;2001-09-09 01:43:39
1248614;Name18614;FistName18614;1946-02-25;Ville7;Pays3;NS000018614;;+336##0005741;17;NomVoie6218614;;#2055;Ville5;Pays2;2005-06-09 07:47:48;2005-06-09 07:47:48
1266006;Name36006;FistName36006;1974-02-13;Ville2;Pays3;NS000036006;;+336##0552428;99;NomVoie9336006;;#5150;Ville15;Pays2;2001-10-02 03:24:07;2001-10-02 03:24:07
1240814;Name10814;FistName10814;1944-01-09;Ville12;Pays4;NS000010814;;+336##0599471;8;NomVoie1610814;;#5911;Ville15;Pays1;2007-08-19 10:36:30;2007-08-19 10:36:30
1265250;Name35250;FistName35250;1940-08-20;Ville18;Pays1;NS000035250;;+336##0253389;94;NomVoie4835250;;#9724;Ville23;Pays2;2017-05-13 01:52:02;2017-05-13 01:52:02
1271982;Name41982;FistName41982;1971-01-22;Ville11;Pays1;NS000041982;;+336##0993955;2;NomVoie5941982;;#6383;Ville15;Pays1;2014-08-09 14:15:33;2014-08-09 14:15:33
1252168;Name22168;FistName22168;1943-11-04;Ville8;Pays2;NS000022168;;+336##0989287;39;NomVoie7222168;;#5569;Ville25;Pays1;2008-05-23 05:47:44;2008-05-23 05:47:44
1263067;Name33067;FistName33067;1988-10-19;Ville14;Pays1;NS000033067;;+336##0669698;20;NomVoie7233067;;#7609;Ville22;Pays1;1997-04-25 21:05:44;1997-04-25 21:05:44
1255920;Name25920;FistName25920;1932-09-08;Ville20;Pays1;NS000025920;;+336##0809314;90;NomVoie2925920;;#8808;Ville23;Pays3;2020-09-09 12:48:01;2020-09-09 12:48:01
1265337;Name35337;FistName35337;1998-01-14;Ville15;Pays2;NS000035337;;+336##0587268;42;NomVoie6835337;;#3361;Ville17;Pays2;2007-03-25 02:02:36;2007-03-25 02:02:36
1234108;Name4108;FistName4108;1993-11-12;Ville22;Pays1;NS000004108;;+336##0859479;68;NomVoie144108;;#1980;Ville22;Pays1;2019-10-20 03:24:32;2019-10-20 03:24:32
1241869;Name11869;FistName11869;1936-07-12;Ville18;Pays2;NS000011869;;+336##0136480;7;NomVoie2411869;;#4503;Ville14;Pays1;2011-03-24 02:20:57;2011-03-24 02:20:57
1275389;Name45389;FistName45389;2012-02-01;Ville25;Pays3;NS000045389;;+336##0861998;97;NomVoie5345389;;#3075;Ville23;Pays3;2009-10-20 22:05:24;2009-10-20 22:05:24
1237510;Name7510;FistName7510;2001-03-08;Ville23;Pays2;NS000007510;;+336##0355952;79;NomVoie917510;;#5598;Ville19;Pays2;2019-07-03 22:58:10;2019-07-03 22:58:10
1234683;Name4683;FistName4683;1954-04-10;Ville9;Pays2;NS000004683;;+336##0215807;90;NomVoie904683;;#9379;Ville7;Pays4;1998-01-05 20:35:08;1998-01-05 20:35:08
1249128;Name19128;FistName19128;1951-07-19;Ville10;Pays2;NS000019128;;+336##0045277;96;NomVoie9619128;;#4068;Ville2;Pays1;2009-02-22 20:28:03;2009-02-22 20:28:03
