ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1278383;Name48383;FistName48383;1944-07-03;Ville25;Pays1;NS000048383;;+336##0662800;4;NomVoie2748383;;#6390;Ville18;Pays2;2022-10-10 15:56:21;2022-10-10 15:56:21
1277816;Name47816;FistName47816;1968-01-22;Ville15;Pays2;NS000047816;;+336##0454862;47;NomVoie3847816;;#1436;Ville16;Pays1;2015-04-15 05:22:39;2015-04-15 05:22:39
1255193;Name25193;FistName25193;1964-04-25;Ville6;Pays1;NS000025193;;+336##0185513;64;NomVoie1625193;;#8528;Ville4;Pays1;2012-08-20 07:06:22;2012-08-20 07:06:22
1278914;Name48914;FistName48914;1972-10-16;Ville22;Pays1;NS000048914;;+336##0868190;52;NomVoie2848914;;#8730;Ville22;Pays1;2011-06-23 10:48:34;2011-06-23 10:48:34
1237062;Name7062;FistName7062;2016-08-14;Ville18;Pays3;NS000007062;;+336##0066386;85;NomVoie137062;;#5796;Ville21;Pays3;2008-03-17 18:03:27;2008-03-17 18:03:27
1240103;Name10103;FistName10103;1995-03-04;Ville14;Pays4;NS000010103;;+336##0898953;59;NomVoie4810103;;#2056;Ville9;Pays2;2022-11-27 17:25:11;2022-11-27 17:25:11
1276872;Name46872;FistName46872;1974-08-20;Ville7;Pays4;NS000046872;;+336##0518695;23;NomVoie3646872;;#6443;Ville4;Pays1;2002-06-18 07:30:08;2002-06-18 07:30:08
1246521;Name16521;FistName16521;1956-02-24;Ville16;Pays3;NS000016521;;+336##0405229;23;NomVoie3416521;;#5710;Ville6;Pays1;2005-07-04 06:10:10;2005-07-04 06:10:10
1261336;Name31336;FistName31336;1937-01-23;Ville16;Pays2;NS000031336;;+336##0144241;79;NomVoie6831336;;#5415;Ville14;Pays3;2021-04-25 15:56:34;2021-04-25 15:56:34
1240456;Name10456;FistName10456;1972-08-22;Ville3;Pays2;NS000010456;;+336##0336258;84;NomVoie5510456;;#0647;Ville17;Pays2;2015-11-03 22:13:27;2015-11-03 22:13:27
1264843;Name34843;FistName34843;1957-01-05;Ville6;Pays1;NS000034843;;+336##0911558;45;NomVoie3134843;;#8872;Ville13;Pays1;1998-10-13 22:01:12;1998-10-13 22:01:12
1234044;Name4044;FistName4044;1996-09-11;Ville19;Pays2;NS000004044;;+336##0490313;77;NomVoie804044;;#1752;Ville11;Pays1;2006-05-09 03:55:50;2006-05-09 03:55:50
1276643;Name46643;FistName46643;1992-01-20;Ville10;Pays2;NS000046643;;+336##0312567;40;NomVoie2546643;;#5668;Ville1;Pays3;2019-09-21 03:43:50;2019-09-21 03:43:50
1242008;Name12008;FistName12008;1950-04-14;Ville11;Pays2;NS000012008;;+336##0624388;54;NomVoie612008;;#7216;Ville17;Pays2;2005-03-25 17:02:59;2005-03-25 17:02:59
1278347;Name48347;FistName48347;1999-03-23;Ville6;Pays2;NS000048347;;+336##0215248;27;NomVoie4548347;;#8468;Ville24;Pays1;2023-01-23 11:32:57;2023-01-23 11:32:57
1246681;Name16681;FistName16681;1948-01-25;Ville18;Pays1;NS000016681;;+336##0154345;45;NomVoie916681;;#7673;Ville13;Pays2;2016-11-04 16:06:44;2016-11-04 16:06:44
1252728;Name22728;FistName22728;1930-03-27;Ville10;Pays1;NS000022728;;+336##0544044;95;NomVoie9322728;;#2827;Ville6;Pays1;2002-04-14 01:16:47;2002-04-14 01:16:47
1245609;Name15609;FistName15609;2004-04-12;Ville7;Pays4;NS000015609;;+336##0079636;70;NomVoie1015609;;#6902;Ville4;Pays2;2000-08-19 21:37:26;2000-08-19 21:37:26
1233235;Name3235;FistName3235;1960-10-13;Ville20;Pays3;NS000003235;;+336##0666908;6;NomVoie23235;;#3271;Ville24;Pays4;2003-04-19 16:17:19;2003-04-19 16:17:19
1242968;Name12968;FistName12968;1941-11-08;Ville11;Pays4;NS000012968;;+336##0769098;20;NomVoie4712968;;#4800;Ville10;Pays4;2019-10-07 17:50:17;2019-10-07 17:50:17
1256811;Name26811;FistName26811;2006-03-26;Ville10;Pays2;NS000026811;;+336##0769187;88;NomVoie8626811;;#5540;Ville24;Pays2;2003-10-22 23:51:24;2003-10-22 23:51:24
1274079;Name44079;FistName44079;1968-07-21;Ville15;Pays3;NS000044079;;+336##0875287;66;NomVoie6744079;;#4276;Ville23;Pays2;2019-03-13 06:30:59;2019-03-13 06:30:59
1246095;Name16095;FistName16095;2010-11-18;Ville7;Pays2;NS000016095;;+336##0013342;51;NomVoie3616095;;#0683;Ville3;Pays1;2020-06-16 10:50:57;2020-06-16 10:50:57
