ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;FONCTION_PERSONNEL;TS_DEBUT_ACTIVITE;TS_FIN_ACTIVITE;RAISON_FIN_ACTIVITE;TS_CREATION_PERSONNEL;TS_MAJ_PERSONNEL;CD_STATUT_PERSONNEL
0;NameMedecin0;FirstNameMedecin0;Generaliste;2026-04-30 08:26:34;2026-04-30 22:41:51;Fin de journée;1999-03-01;2024-02-23;Actif
1;NameMedecin1;FirstNameMedecin1;Dermatologiste;2026-04-30 03:36:07;2026-04-30 16:09:09;Fin de journée;1999-03-01;2024-02-23;Actif
2;NameMedecin2;FirstNameMedecin2;Chirurgien;2026-04-30 01:52:38;2026-04-30 22:44:11;Fin de journée;1999-03-01;2024-02-23;Actif
3;NameMedecin3;FirstNameMedecin3;Generaliste;2026-04-30 10:31:06;2026-04-30 16:55:47;Fin de journée;1999-03-01;2024-02-23;Actif
4;NameMedecin4;FirstNameMedecin4;Generaliste;2026-04-30 06:13:09;2026-04-30 19:35:41;Fin de journée;1999-03-01;2024-02-23;Actif
5;NameMedecin5;FirstNameMedecin5;Chirurgien;2026-04-30 07:25:44;2026-04-30 23:34:02;Fin de journée;1999-03-01;2024-02-23;Actif
6;NameMedecin6;FirstNameMedecin6;Dermatologiste;2026-04-30 10:26:34;2026-04-30 22:02:32;Fin de journée;1999-03-01;2024-02-23;Actif
7;NameMedecin7;FirstNameMedecin7;Generaliste;2026-04-30 07:45:21;2026-04-30 20:49:52;Fin de journée;1999-03-01;2024-02-23;Actif
8;NameMedecin8;FirstNameMedecin8;Generaliste;2026-04-30 09:33:56;2026-04-30 13:21:02;Fin de journée;1999-03-01;2024-02-23;Actif
9;NameMedecin9;FirstNameMedecin9;Dermatologiste;2026-04-30 01:18:04;2026-04-30 14:44:15;Fin de journée;1999-03-01;2024-02-23;Actif
10;NameMedecin10;FirstNameMedecin10;Generaliste;2026-04-30 02:22:27;2026-04-30 20:59:23;Fin de journée;1999-03-01;2024-02-23;Actif
11;NameMedecin11;FirstNameMedecin11;Chirurgien;2026-04-30 08:41:49;2026-04-30 19:47:45;Fin de journée;1999-03-01;2024-02-23;Actif
12;NameMedecin12;FirstNameMedecin12;Generaliste;2026-04-30 02:49:43;2026-04-30 16:15:14;Fin de journée;1999-03-01;2024-02-23;Actif
13;NameMedecin13;FirstNameMedecin13;Chirurgien;2026-04-30 05:09:47;2026-04-30 21:31:50;Fin de journée;1999-03-01;2024-02-23;Actif
14;NameMedecin14;FirstNameMedecin14;Generaliste;2026-04-30 06:17:13;2026-04-30 20:34:42;Fin de journée;1999-03-01;2024-02-23;Actif
15;NameMedecin15;FirstNameMedecin15;Generaliste;2026-04-30 08:40:14;2026-04-30 13:17:37;Fin de journée;1999-03-01;2024-02-23;Actif
