ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1252863;Name22863;FistName22863;1992-05-20;Ville24;Pays1;NS000022863;;+336##0151289;71;NomVoie722863;;#1818;Ville12;Pays2;2002-08-21 23:14:40;2002-08-21 23:14:40
1234727;Name4727;FistName4727;1972-06-21;Ville7;Pays2;NS000004727;;+336##0670762;15;NomVoie934727;;#0956;Ville16;Pays2;2010-11-25 13:51:03;2010-11-25 13:51:03
1242347;Name12347;FistName12347;1931-02-15;Ville11;Pays1;NS000012347;;+336##0793220;68;NomVoie3312347;;#9909;Ville6;Pays3;2007-05-04 17:15:56;2007-05-04 17:15:56
1252756;Name22756;FistName22756;1967-11-22;Ville1;Pays1;NS000022756;;+336##0347646;40;NomVoie9322756;;#8461;Ville16;Pays1;2004-11-11 23:41:39;2004-11-11 23:41:39
1269828;Name39828;FistName39828;2008-07-21;Ville19;Pays1;NS000039828;;+336##0439765;21;NomVoie2639828;;#4449;Ville13;Pays2;2011-04-16 03:31:05;2011-04-16 03:31:05
1230806;Name806;FistName806;1989-03-07;Ville8;Pays2;NS000000806;;+336##0689900;39;NomVoie8806;;#8319;Ville23;Pays3;2014-05-10 14:29:29;2014-05-10 14:29:29
1276151;Name46151;FistName46151;1932-08-10;Ville1;Pays2;NS000046151;;+336##0903443;79;NomVoie9446151;;#0468;Ville10;Pays1;2013-05-09 18:32:14;2013-05-09 18:32:14
1244295;Name14295;FistName14295;1932-02-06;Ville13;Pays3;NS000014295;;+336##0173448;78;NomVoie1714295;;#1092;Ville4;Pays1;2016-09-05 02:27:50;2016-09-05 02:27:50
1247305;Name17305;FistName17305;1966-11-10;Ville2;Pays2;NS000017305;;+336##0273013;25;NomVoie6017305;;#2779;Ville13;Pays4;2001-10-23 16:20:40;2001-10-23 16:20:40
1274338;Name44338;FistName44338;1981-10-23;Ville12;Pays3;NS000044338;;+336##0600968;23;NomVoie4944338;;#1188;Ville22;Pays2;2023-03-24 07:41:12;2023-03-24 07:41:12
1262532;Name32532;FistName32532;1995-02-14;Ville13;Pays1;NS000032532;;+336##0049314;43;NomVoie6732532;;#9435;Ville12;Pays2;2015-10-22 06:12:22;2015-10-22 06:12:22
1253921;Name23921;FistName23921;2011-05-22;Ville19;Pays4;NS000023921;;+336##0215992;67;NomVoie3623921;;#5621;Ville16;Pays4;2005-09-15 14:27:24;2005-09-15 14:27:24
1254292;Name24292;FistName24292;1947-02-01;Ville1;Pays2;NS000024292;;+336##0389672;76;NomVoie4924292;;#5733;Ville5;Pays2;2006-10-01 07:30:10;2006-10-01 07:30:10
1240805;Name10805;FistName10805;1990-04-04;Ville20;Pays2;NS000010805;;+336##0575612;87;NomVoie9310805;;#0079;Ville16;Pays3;2019-11-16 17:54:47;2019-11-16 17:54:47
1277133;Name47133;FistName47133;1979-05-11;Ville10;Pays2;NS000047133;;+336##0231537;8;NomVoie8247133;;#4480;Ville15;Pays1;2022-03-27 17:58:19;2022-03-27 17:58:19
1278378;Name48378;FistName48378;1953-05-23;Ville7;Pays4;NS000048378;;+336##0996896;40;NomVoie5648378;;#9630;Ville10;Pays2;2013-08-26 14:57:42;2013-08-26 14:57:42
1256696;Name26696;FistName26696;2000-10-08;Ville10;Pays4;NS000026696;;+336##0582803;40;NomVoie1226696;;#9851;Ville1;Pays2;1997-08-18 11:23:18;1997-08-18 11:23:18
1243317;Name13317;FistName13317;1939-10-20;Ville17;Pays2;NS000013317;;+336##0571246;61;NomVoie4013317;;#4347;Ville9;Pays4;2019-11-21 03:17:12;2019-11-21 03:17:12
1276731;Name46731;FistName46731;1968-05-20;Ville9;Pays1;NS000046731;;+336##0982106;16;NomVoie7046731;;#1266;Ville14;Pays1;2016-10-21 18:19:54;2016-10-21 18:19:54
1250612;Name20612;FistName20612;1931-02-11;Ville23;Pays1;NS000020612;;+336##0979167;11;NomVoie9220612;;#2879;Ville22;Pays4;1998-06-26 17:13:24;1998-06-26 17:13:24
1233649;Name3649;FistName3649;1943-02-17;Ville3;Pays1;NS000003649;;+336##0232592;8;NomVoie863649;;#1953;Ville10;Pays2;2013-08-24 23:01:39;2013-08-24 23:01:39
1279658;Name49658;FistName49658;1986-08-09;Ville10;Pays1;NS000049658;;+336##0802351;46;NomVoie1549658;;#5534;Ville24;Pays1;2022-02-02 04:32:26;2022-02-02 04:32:26
1235246;Name5246;FistName5246;1996-03-08;Ville4;Pays2;NS000005246;;+336##0243588;2;NomVoie575246;;#4512;Ville6;Pays1;1998-06-05 13:30:36;1998-06-05 13:30:36
1237958;Name7958;FistName7958;1954-05-11;Ville19;Pays3;NS000007958;;+336##0952691;42;NomVoie557958;;#4728;Ville19;Pays2;2008-07-18 16:47:57;2008-07-18 16:47:57
1270182;Name40182;FistName40182;1989-11-23;Ville7;Pays3;NS000040182;;+336##0535495;42;NomVoie4940182;;#6675;Ville1;Pays2;2008-01-25 13:17:49;2008-01-25 13:17:49
1262518;Name32518;FistName32518;1969-03-13;Ville1;Pays1;NS000032518;;+336##0393982;16;NomVoie2332518;;#8465;Ville11;Pays4;2010-02-11 04:21:24;2010-02-11 04:21:24
1259198;Name29198;FistName29198;1979-05-03;Ville20;Pays1;NS000029198;;+336##0268483;11;NomVoie729198;;#9908;Ville1;Pays2;2003-04-12 20:05:22;2003-04-12 20:05:22
1278549;Name48549;FistName48549;1962-01-20;Ville8;Pays3;NS000048549;;+336##0565425;28;NomVoie8048549;;#4115;Ville6;Pays3;2005-05-10 17:57:24;2005-05-10 17:57:24
1256127;Name26127;FistName26127;1941-09-22;Ville13;Pays1;NS000026127;;+336##0492198;8;NomVoie3926127;;#1859;Ville18;Pays3;2021-11-05 16:21:28;2021-11-05 16:21:28
1252736;Name22736;FistName22736;1937-07-17;Ville13;Pays1;NS000022736;;+336##0158698;65;NomVoie922736;;#8634;Ville15;Pays3;2009-09-11 13:45:03;2009-09-11 13:45:03
1277580;Name47580;FistName47580;2011-09-18;Ville16;Pays1;NS000047580;;+336##0414912;97;NomVoie6247580;;#6126;Ville22;Pays2;2021-11-19 17:37:12;2021-11-19 17:37:12
1274986;Name44986;FistName44986;1997-08-22;Ville7;Pays2;NS000044986;;+336##0420013;34;NomVoie7544986;;#2919;Ville19;Pays1;2001-01-06 07:14:06;2001-01-06 07:14:06
1237271;Name7271;FistName7271;1931-11-22;Ville22;Pays1;NS000007271;;+336##0139136;78;NomVoie47271;;#0336;Ville10;Pays2;2011-02-08 03:39:33;2011-02-08 03:39:33
1243171;Name13171;FistName13171;1946-05-15;Ville11;Pays1;NS000013171;;+336##0994504;75;NomVoie9213171;;#8538;Ville24;Pays2;1997-09-24 09:07:36;1997-09-24 09:07:36
