ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;FONCTION_PERSONNEL;TS_DEBUT_ACTIVITE;TS_FIN_ACTIVITE;RAISON_FIN_ACTIVITE;TS_CREATION_PERSONNEL;TS_MAJ_PERSONNEL;CD_STATUT_PERSONNEL
0;NameMedecin0;FirstNameMedecin0;Generaliste;2026-05-03 10:27:21;2026-05-03 21:57:46;Fin de journée;1999-03-01;2024-02-23;Actif
1;NameMedecin1;FirstNameMedecin1;Dermatologiste;2026-05-03 06:27:06;2026-05-03 16:20:57;Fin de journée;1999-03-01;2024-02-23;Actif
2;NameMedecin2;FirstNameMedecin2;Chirurgien;2026-05-03 04:44:32;2026-05-03 17:47:46;Fin de journée;1999-03-01;2024-02-23;Actif
3;NameMedecin3;FirstNameMedecin3;Generaliste;2026-05-03 06:03:14;2026-05-03 18:46:45;Fin de journée;1999-03-01;2024-02-23;Actif
4;NameMedecin4;FirstNameMedecin4;Generaliste;2026-05-03 08:15:13;2026-05-03 17:09:39;Fin de journée;1999-03-01;2024-02-23;Actif
5;NameMedecin5;FirstNameMedecin5;Chirurgien;2026-05-03 01:17:25;2026-05-03 17:04:11;Fin de journée;1999-03-01;2024-02-23;Actif
6;NameMedecin6;FirstNameMedecin6;Dermatologiste;2026-05-03 04:04:31;2026-05-03 22:11:24;Fin de journée;1999-03-01;2024-02-23;Actif
7;NameMedecin7;FirstNameMedecin7;Generaliste;2026-05-03 09:08:53;2026-05-03 15:11:30;Fin de journée;1999-03-01;2024-02-23;Actif
8;NameMedecin8;FirstNameMedecin8;Generaliste;2026-05-03 10:50:30;2026-05-03 16:44:59;Fin de journée;1999-03-01;2024-02-23;Actif
9;NameMedecin9;FirstNameMedecin9;Dermatologiste;2026-05-03 00:50:25;2026-05-03 20:35:07;Fin de journée;1999-03-01;2024-02-23;Actif
10;NameMedecin10;FirstNameMedecin10;Generaliste;2026-05-03 05:10:40;2026-05-03 15:36:32;Fin de journée;1999-03-01;2024-02-23;Actif
11;NameMedecin11;FirstNameMedecin11;Chirurgien;2026-05-03 08:25:03;2026-05-03 21:30:15;Fin de journée;1999-03-01;2024-02-23;Actif
12;NameMedecin12;FirstNameMedecin12;Generaliste;2026-05-03 07:43:32;2026-05-03 14:02:46;Fin de journée;1999-03-01;2024-02-23;Actif
13;NameMedecin13;FirstNameMedecin13;Chirurgien;2026-05-03 03:42:33;2026-05-03 14:29:23;Fin de journée;1999-03-01;2024-02-23;Actif
14;NameMedecin14;FirstNameMedecin14;Generaliste;2026-05-03 05:20:17;2026-05-03 17:22:34;Fin de journée;1999-03-01;2024-02-23;Actif
