ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1266195;Name36195;FistName36195;2003-08-01;Ville11;Pays4;NS000036195;;+336##0594731;25;NomVoie4436195;;#2682;Ville5;Pays2;2015-01-25 23:38:22;2015-01-25 23:38:22
1252872;Name22872;FistName22872;2003-01-07;Ville6;Pays1;NS000022872;;+336##0644511;79;NomVoie2022872;;#6538;Ville2;Pays2;2022-03-21 16:24:18;2022-03-21 16:24:18
1263387;Name33387;FistName33387;1976-05-25;Ville1;Pays3;NS000033387;;+336##0311498;95;NomVoie5333387;;#8549;Ville17;Pays2;2004-08-05 02:54:59;2004-08-05 02:54:59
1230202;Name202;FistName202;1998-11-25;Ville8;Pays3;NS000000202;;+336##0636956;43;NomVoie84202;;#3127;Ville13;Pays2;2009-11-15 16:14:57;2009-11-15 16:14:57
1248728;Name18728;FistName18728;1968-11-02;Ville11;Pays1;NS000018728;;+336##0326982;42;NomVoie1318728;;#8838;Ville18;Pays3;2017-03-11 13:02:11;2017-03-11 13:02:11
1260567;Name30567;FistName30567;1969-10-08;Ville17;Pays1;NS000030567;;+336##0754459;65;NomVoie6630567;;#5925;Ville10;Pays2;1997-02-06 16:28:55;1997-02-06 16:28:55
1233958;Name3958;FistName3958;2008-01-18;Ville13;Pays1;NS000003958;;+336##0575097;14;NomVoie333958;;#4826;Ville6;Pays1;2015-05-14 15:43:43;2015-05-14 15:43:43
1271762;Name41762;FistName41762;2002-02-24;Ville19;Pays5;NS000041762;;+336##0162602;93;NomVoie7941762;;#7605;Ville15;Pays1;2007-07-10 06:37:49;2007-07-10 06:37:49
1264994;Name34994;FistName34994;1937-08-14;Ville25;Pays2;NS000034994;;+336##0941563;18;NomVoie8834994;;#0796;Ville19;Pays1;2021-10-07 16:27:13;2021-10-07 16:27:13
1233001;Name3001;FistName3001;1957-11-16;Ville2;Pays4;NS000003001;;+336##0789432;69;NomVoie823001;;#6043;Ville24;Pays1;2021-04-09 08:40:55;2021-04-09 08:40:55
